INSTNM,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6
Sandusky Career Center,13756,NULL,PrivacySuppressed,PrivacySuppressed,22200
Greater Altoona Career & Technology Center,12626,NULL,29300,26800,26500
Northeastern Hospital School of Nursing,NULL,NULL,65500,PrivacySuppressed,PrivacySuppressed
Central Texas Beauty College-Temple,NULL,5823,15100,15600,16500
Dance Theatre of Harlem Inc,NULL,15655,NULL,NULL,NULL
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,11419,NULL,31000,31600,31300
Empire Beauty School-Brooklyn,NULL,15342,16300,15300,14900
Houston Training School-Gulfgate,NULL,4154,16900,16200,15100
Star Career Academy-Philadelphia,NULL,20936,31300,30500,24800
Antonelli College-Hattiesburg,NULL,22260,21100,18500,17000
Eastern New Mexico University-Ruidoso Campus,7877,NULL,29300,26100,23900
Beacon College,NULL,43362,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Acupuncture and Integrative Medicine College-Berkeley,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Estrella Mountain Community College,7790,NULL,30500,30100,26100
Heartland Community College,8124,NULL,26900,23100,22700
University of the Potomac-Washington DC Campus,NULL,21688,56400,43300,41000
Rabbi Jacob Joseph School,NULL,4947,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Sanford-Brown Institute-Ft Lauderdale,NULL,16409,27500,26300,23800
The Salon Professional Academy-Melbourne,NULL,14187,13400,PrivacySuppressed,14400
Fortis Institute-Scranton,NULL,29844,20600,20400,19100
Milan Institute of Cosmetology-Amarillo,NULL,15027,18900,16000,14700
Everglades University,NULL,33589,40400,39500,34700
Seminar L'moros Bais Yaakov,NULL,15018,15000,16700,16600
Herzing University-Winter Park,NULL,22688,42300,34100,28600
Emil Fries Piano Hospital and Training Center,NULL,20355,NULL,NULL,NULL
Fairview Beauty Academy,NULL,5528,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Florida College of Natural Health-Pompano Beach,NULL,21012,25000,21500,20200
National College-Nashville,NULL,18052,23000,23200,17600
College of Biblical Studies-Houston,NULL,24045,46800,36600,33400
Inner State Beauty School,NULL,6122,17800,14000,13600
Virginia College-Pensacola,NULL,17201,25300,22000,20100
Mid-EastCTC-Adult Education,9013,NULL,29800,28400,26500
Everest University-South Orlando,NULL,22840,23900,23400,18400
Polaris Career Center,8581,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
P&A Scholars Beauty School,NULL,13688,PrivacySuppressed,PrivacySuppressed,13700
Rensselaer BOCES-Practical Nursing Program,15430,NULL,38900,36900,32600
ASM Beauty World Academy,NULL,5938,PrivacySuppressed,13400,13300
The Salter School-Tewksbury Campus,NULL,25385,28900,24700,22200
Sharps Academy of Hair Styling,NULL,NULL,PrivacySuppressed,11600,PrivacySuppressed
College of Health Care Professions-Northwest,NULL,24049,28000,25300,24100
School of Professional Horticulture  New York Botanical Garden,NULL,NULL,NULL,NULL,NULL
Fortis College-Houston,NULL,18760,PrivacySuppressed,24700,23300
Volunteer Beauty Academy-Madison,NULL,9164,16900,15600,13300
Watkins College of Art Design & Film,NULL,28764,28300,29600,23600
Chicago ORT Technical Institute,NULL,16267,NULL,NULL,NULL
Alhambra Beauty College,NULL,9957,14200,13300,11400
UEI College-Gardena,NULL,19672,PrivacySuppressed,PrivacySuppressed,27700
Asian American International Beauty College,NULL,NULL,11900,11300,11000
Avance Beauty College,NULL,16100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Colton-Redlands-Yucaipa Regional Occupational Program,14002,NULL,NULL,NULL,NULL
Copper Mountain Community College,9452,NULL,26500,24000,22300
Diversified Vocational College,NULL,12140,18200,19500,17000
Bristol University,NULL,18797,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
UEI College-Fresno,NULL,20701,23400,18200,20800
Mt Sierra College,NULL,18770,42500,37000,28100
Wyotech-Long Beach,NULL,30350,24600,24800,22900
Santiago Canyon College,3129,NULL,PrivacySuppressed,PrivacySuppressed,26500
Southern California Institute of Technology,NULL,24892,28300,27500,26000
Soka University of America,NULL,12208,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Summit College,NULL,21247,28200,28400,25600
Advance Beauty College,NULL,NULL,10700,12600,10900
World Mission University,NULL,17562,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Yo San University of Traditional Chinese Medicine,NULL,NULL,NULL,NULL,NULL
Coast Career Institute,NULL,12227,NULL,NULL,NULL
Cannella School of Hair Design-Blue Island,NULL,4719,14500,14100,15500
John Amico School of Hair Design,NULL,5403,NULL,NULL,NULL
Delta College Inc,NULL,18046,20000,21100,19800
Colorado Technical University-Sioux Falls,NULL,NULL,50100,38200,28800
Southwest University of Visual Arts-Albuquerque,NULL,41878,27200,25900,22000
Tri-State Cosmetology Institute,NULL,14524,14300,14600,13600
Widener University-Commonwealth Law School,NULL,NULL,52900,48500,42900
Volunteer Beauty Academy-Nashville,NULL,8343,19100,15900,PrivacySuppressed
Frontier Community College,166,NULL,25700,24700,19400
Lincoln Trail College,-595,NULL,31500,24800,22300
Wabash Valley College,97,NULL,29700,23700,23700
American Institute of Interior Design,NULL,15401,NULL,NULL,NULL
Brookline College-Tempe,NULL,22641,22200,19000,17900
Baker College of Auburn Hills,NULL,12510,26400,23900,21800
Baker College of Clinton Township,NULL,13013,26400,23900,21800
Inter American University of Puerto Rico-School of Optometry,NULL,NULL,19000,17100,15500
Schiller International University,NULL,30145,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Vatterott College-Springfield,NULL,19255,28300,25700,21400
Vatterott College-Joplin,NULL,17659,28300,25700,21400
Vatterott College-Kansas City,NULL,18992,28300,25700,21400
Coconino Community College,9682,NULL,28900,23200,23900
Sanford-Brown College-Houston,NULL,16783,27500,26300,23800
Sanford-Brown Institute-Jacksonville,NULL,17550,27700,27500,23800
Sanford-Brown College-Dallas,NULL,17568,31300,30900,27800
Baker College of Cadillac,NULL,13600,26400,23900,21800
Emma's Beauty Academy-Juana Diaz,NULL,5198,13500,14000,11400
Franklin Academy,NULL,10252,15900,18400,14100
Columbia Central University-Yauco,NULL,4968,20800,19100,17600
Pima Medical Institute-Denver,NULL,16108,28200,25900,25000
ASA College,NULL,20197,24100,22200,16900
Ohio State School of Cosmetology-Westerville,NULL,15309,PrivacySuppressed,21200,19500
Nationwide Beauty Academy,NULL,14896,19200,21800,20900
Yeshivas Novominsk,NULL,6875,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Southern Careers Institute-Corpus Christi,NULL,27588,19800,19100,16400
Kiamichi Technology Center-Stigler,883,NULL,21200,20300,19500
Rabbinical College of Ohr Shimon Yisroel,NULL,8436,12000,12200,13500
Carroll Community College,4833,NULL,32500,28900,26500
University of Phoenix-New Mexico,NULL,17327,51100,43400,33400
Galen College of Nursing-Tampa Bay,NULL,22120,38000,39100,40600
Galen College of Nursing-San Antonio,NULL,NULL,38000,39100,40600
Sarasota School of Massage Therapy,NULL,21965,18600,23500,19500
Westwood College-Dupage,NULL,23820,32100,28700,22900
Wright Career College,NULL,14013,17100,16000,14900
Daymar College-Louisville,NULL,NULL,22100,20000,16600
Schuyler Steuben Chemung Tioga Allegany BOCES,13477,NULL,29800,26400,27500
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,10724,NULL,32600,30200,26100
DCI Career Institute,NULL,15223,28600,22400,18500
Central Susquehanna Intermediate Unit LPN Career,14364,NULL,36800,33400,35700
Myotherapy College of Utah,NULL,16929,20800,16800,14600
Graham Webb International Academy of Hair,NULL,13081,30200,28300,34100
City College-Gainesville,NULL,24220,25900,26000,24800
Arizona State University-West,8612,NULL,NULL,NULL,NULL
Connecticut Center for Massage Therapy-Westport,NULL,22449,29300,30700,27900
ITT Technical Institute-Jacksonville,NULL,24150,38800,33900,29300
G Skin & Beauty Institute,NULL,23804,27200,22200,21000
Cosmetology Training Center,NULL,11011,15800,14300,13100
Stage One-The Hair School,NULL,8811,15200,14600,12500
Empire Beauty School-Malden,NULL,14286,20400,18600,15100
Minnesota School of Business-Brooklyn Center,NULL,18060,32400,30600,27900
ITT Technical Institute-Omaha,NULL,23675,38800,33900,29300
Omaha School of Massage and Healthcare of Herzing University,NULL,23411,42300,34100,28600
Xenon International Academy-Omaha,NULL,13512,21700,21100,19100
Capri Institute of Hair Design-Brick,NULL,14291,15400,19400,17500
Capri Institute of Hair Design-Kenilworth,NULL,32574,27300,22600,19100
Capri Institute of Hair Design-Paramus,NULL,17195,22700,25900,20800
Orlo School of Hair Design and Cosmetology,NULL,11204,17800,19300,17900
Delaware Area Career Center,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Eastland-Fairfield Career and Technical Schools,6121,NULL,27100,25600,27500
Empire Beauty School-Cincinnati,NULL,14182,23300,25400,22800
Mahoning County Career and Technical Center,14578,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Pickaway Ross Joint Vocational School District,NULL,NULL,25500,30800,29500
Pioneer Career and Technology Center,6185,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Raphael's School of Beauty Culture Inc-Boardman,NULL,10123,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Scioto County Career Technical Center,16841,NULL,26800,24700,21700
Trumbull Career & Technical Center,8034,NULL,22600,23800,23400
Northwest Technology Center-Fairview,-2434,NULL,15000,17800,PrivacySuppressed
Lake Erie College of Osteopathic Medicine,NULL,NULL,NULL,NULL,NULL
University of Cosmetology Arts & Sciences-Harlingen,NULL,12415,15000,14300,13900
Gene Juarez Academy of Beauty-Federal Way,NULL,13082,24000,24500,21800
Empire Beauty School-Green Bay,NULL,13301,13600,15900,17200
Warren County Career Center,18998,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Brown Mackie College-Fort Wayne,NULL,18921,27400,27200,27700
Paul Mitchell the School-Wichita,NULL,26931,17600,15700,13100
Pinnacle Institute of Cosmetology,NULL,13710,PrivacySuppressed,PrivacySuppressed,14400
Career Training Academy-Monroeville,NULL,12242,22900,19300,19300
Southern Careers Institute-Pharr,NULL,22252,19800,19100,16400
Texas State Technical College-Marshall,12777,NULL,PrivacySuppressed,33800,27000
Laurel Technical Institute,NULL,8134,NULL,NULL,NULL
Florida National University-Main Campus,NULL,19477,20900,21200,20300
Georgia Institute of Cosmetology,NULL,13720,16300,14000,15600
Nouvelle Institute,NULL,14261,13600,13400,12100
ITT Technical Institute-Fort Lauderdale,NULL,22841,38800,33900,29300
Franklin Technology-MSSU,23235,NULL,24300,25200,21800
Professional Technical Institution Inc,NULL,6958,17600,17600,16900
Erikson Institute,NULL,NULL,NULL,NULL,NULL
South Texas College,1158,NULL,27800,25500,22200
Pike County Joint Vocational School District,6093,NULL,NULL,NULL,NULL
Lorain County Joint Vocational School District,5678,NULL,27300,16400,19500
Roger Williams University School of Law,NULL,NULL,47400,43400,37800
Everest Institute-Kendall,NULL,20739,28200,23000,17000
California State University-Monterey Bay,9579,NULL,40300,35400,31800
Heald College-Salinas,NULL,18817,31600,27700,23400
Heritage College-Oklahoma City,NULL,19727,20900,20200,21200
Ann Arbor Institute of Massage Therapy,NULL,23988,PrivacySuppressed,PrivacySuppressed,22000
Brown Mackie College-Atlanta,NULL,20850,27400,27200,27700
Bryant & Stratton College-Henrietta,NULL,13805,22400,21500,20500
Argosy University-The Art Institute of California-Hollywood,NULL,27606,37000,37200,32500
Sage College,NULL,9158,32200,28400,27800
Lincoln Technical Institute-Hartford,NULL,23772,31900,27100,21800
Ohio Center for Broadcasting-Valley View,NULL,18392,27500,25900,24000
EINE Inc,NULL,18150,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Marian Health Careers Center-Los Angeles Campus,NULL,24125,50700,48500,44900
Cleveland Clinic Health System-School of Diagnostic Imaging,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
National Institute of Massotherapy,NULL,15361,PrivacySuppressed,18400,21300
Academy for Nursing and Health Occupations,NULL,NULL,32000,36100,27400
Shawsheen Valley Regional Vocational Technical School,15305,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Shear Ego International School of Hair Design,NULL,17833,14500,15800,17900
Remington College-Memphis Campus,NULL,21500,24000,19000,16300
Fayette Institute of Technology,2431,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Professional Beauty School,NULL,3668,18000,19100,16700
Capella University,NULL,14557,66600,56300,49500
College of Menominee Nation,NULL,3409,21300,20100,16500
Leech Lake Tribal College,11591,NULL,17700,11300,10800
Southwest Acupuncture College-Albuquerque,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Spartan College of Aeronautics & Technology,NULL,21053,41000,40600,36300
Stone Academy-Waterbury,NULL,8805,22400,18600,21200
East San Gabriel Valley Regional Occupational Program,16131,NULL,NULL,NULL,NULL
Yukon Beauty College Inc,NULL,8636,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Little Rock,NULL,25197,38800,33900,29300
ITT Technical Institute-Oxnard,NULL,24314,38800,33900,29300
ITT Technical Institute-Louisville,NULL,23917,38800,33900,29300
ITT Technical Institute-Greenville,NULL,24870,38800,33900,29300
ITT Technical Institute-Cordova,NULL,24407,38800,33900,29300
Toni & Guy Hairdressing Academy-Atlanta,NULL,15281,18400,14400,15600
Mitchell's Hair Styling Academy-Raleigh,NULL,11460,17400,17200,19200
Salon Academy,NULL,8886,PrivacySuppressed,PrivacySuppressed,14100
Artistic Academy of Hair Design,NULL,14457,PrivacySuppressed,27700,23800
Motoring Technical Training Institute,NULL,11547,28800,27500,24300
Baker College of Jackson,NULL,13201,26400,23900,21800
Phagans Newport Academy of Cosmetology Careers,NULL,8209,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Mech-Tech College,NULL,10539,18600,17600,16000
Baldwin Beauty School-North Austin,NULL,10031,20700,16600,16800
ITT Technical Institute-Everett,NULL,23220,40300,35500,29300
Jean Madeline Aveda Institute,NULL,15823,25500,21400,20100
Stillwater Beauty Academy,NULL,7375,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Bessemer,NULL,23714,38800,33900,29300
ITT Technical Institute-Orland Park,NULL,22907,38800,33900,29300
Pacific College of Oriental Medicine-New York,NULL,24698,PrivacySuppressed,17400,PrivacySuppressed
Baker College Center for Graduate Studies,NULL,14227,26400,23900,21800
Johnson & Wales University-North Miami,NULL,22207,35300,33200,29100
ITT Technical Institute-Pittsburgh,NULL,23305,38800,33900,29300
Tricoci University of Beauty Culture-Indianapolis,NULL,18015,NULL,NULL,NULL
Trine University-Regional/Non-Traditional Campuses,NULL,21420,40500,38400,33600
Pennsylvania Highlands Community College,4226,NULL,26100,25600,22900
Nevada Career Institute,NULL,22344,28300,26100,26100
Phillips Theological Seminary,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Hanover,NULL,14269,19800,17100,16500
Industrial Management Training Institute,NULL,23472,51500,38100,38200
Faris Technical Institute Inc,NULL,17380,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Four-D College,NULL,22999,NULL,NULL,NULL
Allen School-Jamaica,NULL,25354,28800,27100,21300
Premiere Career College,NULL,17005,32400,28300,28100
Tennessee Academy of Cosmetology-Stage Road,NULL,10705,19300,19100,12300
The University of Texas MD Anderson Cancer Center,NULL,NULL,70600,78500,66300
Carousel Beauty College-Springfield,NULL,14723,14000,12800,14900
Carousel Beauty College-Kettering,NULL,13467,14000,12800,14900
Paul Mitchell the School-Huntsville,NULL,12654,NULL,NULL,NULL
Estes Institute of Cosmetology Arts and Science,NULL,9254,14700,16300,13400
Baldwin Park Adult & Community Education,2196,NULL,23300,26100,23700
Ventura Adult and Continuing Education,8029,NULL,25000,25800,20900
Marinello Schools of Beauty-Sacramento,NULL,12879,18600,16700,19900
Albert I Prince Technical High School,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Bullard-Havens Technical High School,19071,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Howell Cheney THS/CT Aero Tech School,4273,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
W F Kaynor Technical High School,13953,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Platt Technical High School,2315,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
